what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1678602312486
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1678602312486
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1678602312487
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1678602312487
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1678602312487
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1678602312488
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1678602312488
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1678602312488
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1678602312489
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1678602312489
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1678602312490
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1678602312490
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1678602312490
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1678602312490
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1678602312490
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1678602312491
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1678602312491
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1678602312491
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1678602312492
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1678602312492
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1678602312492
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1678602312493
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1678602312493
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1678602312493
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1678602312493
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1678602312494
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1678602312494
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1678602312494
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1678602312494
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1678602312495
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1678602312495
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1678602312495
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1678602312495
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1678602312495
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1678602312496
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1678602312496
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1678602312496
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1678602312496
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1678602312496
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1678602312496
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1678602312497
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1678602312497
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1678602312497
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1678602312497
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1678602312498
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1678602312498
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1678602312498
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1678602312498
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1678602312499
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1678602312499
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1678602312499
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1678602312500
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1678602312500
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1678602312500
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1678602312501
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1678602312501
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1678602312501
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1678602312501
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1678602312502
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1678602312502
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1678602312502
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1678602312502
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1678602312503
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1678602312503
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1678602312503
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1678602312504
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1678602312504
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1678602312504
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1678602312504
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1678602312505
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1678602312505
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1678602312505
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1678602312505
os,sysinfo,,,"win32",1678602312507
arch,sysinfo,,,"x86",1678602312507
ws,sysinfo,,,"win32",1678602312507
locale,sysinfo,,,"zh_TW",1678602312507
processors,sysinfo,,,"12",1678602312507
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1678602312507
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1678602312507
java.specification.name,sysinfo,,,"Java Platform API Specification",1678602312507
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1678602312507
java.specification.version,sysinfo,,,"1.6",1678602312507
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1678602312507
java.version,sysinfo,,,"1.6.0_23",1678602312507
java.vm.info,sysinfo,,,"mixed mode",1678602312507
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1678602312507
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1678602312507
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1678602312507
java.vm.specification.version,sysinfo,,,"1.0",1678602312507
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1678602312507
java.vm.version,sysinfo,,,"19.0-b09",1678602312507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1678602315649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602317071
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1678602332290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602332378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1678602332398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1678602332398
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1678602332706
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1678602332801
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1678602332928
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1678602332999
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1678602335054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602335099
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1678602335221
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1678602335237
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1678602335238
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1678602335238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602340681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602403822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602404716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602406974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602412588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602413338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602419492
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1678602420287
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1678602420290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602429685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602521436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1678602522667
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1678602523357
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1678602523360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602523531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602525711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602525741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602529410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602529442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602530292
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1678602530298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1678602533242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602537161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1678602540190
